Generator	Company	Language	Status	Repo
Swagger	DocuSign	C#	Live	https://github.com/docusign/docusign-csharp-client
Swagger	DocuSign	PHP	Live	https://github.com/docusign/docusign-php-client
Swagger	DocuSign	Python	Live	https://github.com/docusign/docusign-python-client
Swagger	DocuSign	Ruby	Live	https://github.com/docusign/docusign-ruby-client
Swagger	Lyft	Go	Deprecated	https://github.com/lyft/lyft-go-sdk
Swagger	Lyft	JavaScript	Deprecated	https://github.com/lyft/lyft-node-sdk
Swagger	Microsoft	Swift	Live	https://github.com/Microsoft/EmbeddedSocial-Swift-API-Library
Swagger	Square	C#	Live	https://github.com/square/connect-csharp-sdk
Swagger	Square	Java	Live	https://github.com/square/connect-java-sdk
Swagger	Square	JavaScript	Live	https://github.com/square/connect-javascript-sdk
Swagger	Square	PHP	Live	https://github.com/square/connect-php-sdk
Swagger	Square	Python	Live	https://github.com/square/connect-python-sdk
Swagger	Square	Ruby	Live	https://github.com/square/connect-ruby-sdk
